State ,Population
Uttar pradesh,223897418
maharashtra,123174918
Bihar,119237851
West Bengal,100193142
Andhra pradesh,84665533
Madhya pradesh,72597565
Tamilnadu,79096413
Rajasthan,75984317
Karnataka,61130704
Gujarat,67600992
Odisha,45496577
Kerala,34523726
Telangana,35193978
Jharkhand,32996238
Assam,31169272
Punjab,30045949
Haryana,27761063
Chattisgarh,25540196
Jammu and Kashmir,14280373
Uttarkhand,10116752
Himachal pradesh,7123184
Tripura,3671032
Meghalaya,2964007
Manipur,2721756
Nagaland,1980602
Goa,1457723
Arunachal pradesh,1382611
Mizoram,1091014
Sikkim,607688
Delhi,18686902
Puchucherry,1244464
Chandigarh,1054686
Andaman and Nicobar,379944
Dadra and Nagar island,342853
Daman and Diu,242911
Lakshadweep,64429
