Schemes,Purposes
Pradhan Mantri Kaushal Vikas Yojana (PMKVY),Indian youth to take up industry-relevant skill training
Deen Dayal Upadhyay Gram Kaushal Yojana – DDU-GKY,Placement linked skill development program for the rural youth. 
Deendayal Antyodaya Yojana – National Urban Livelihoods Mission – DAY-NULM,to curb poverty of the urban poor households 
Director General of Training – Modular Employable Skills – DGT-MES," to provide vocational training to school dropouts, ITI graduates, rural and unemployed youth"
Ministry of Labor and Employment – MoLE,
Mahatma Gandhi National Rural Employment Guarantee Act – NREGA,to work in rural areas by providing wage employment to unskilled manual workers
National Skill Development Corporation – NSDC, the creation of large and quality oriented training institutes
National Skill Development Agency – NSDA,"To ensure that the skilling needs of the groups like SCs, STs, OBCs, minorities, women and differently abled persons "
National Rural Livelihood Mission – Ajeevika skills,It provides young people from poor communities an opportunity to upgrade their skills and enter the skilled work force of the country. 
National Urban Livelihood Mission(NULM),To reduce poverty and vulnerability of the urban poor households 
National Scheme of Apprenticeship Training,"is to fulfill/match, any gap, in so far practical/hands on experience of fresh Graduate Engineers, Diploma holders and 10+2 and Vocational pass-outs at Mumbai, Kanpur, Chennai & Kolkata"
Scheme of Community Development Through Polytechnics (CDTP),to obtain gainful self / wage employment.
Vocationalisation of Secondary Education,provides educational opportunities to enhance individual employability and provides an alternative for those pursuing higher education.
UDDN-J&K,to provide skills training and enhance the employability ofunemployed youth of J&K. 
Craftsmen Training Scheme (CTS),Craftsmen Training to meet the skilled manpower requirements for technology and industrial growth of the country. 
Nai Roshni- The Scheme for Leadership Developmentof Minority Women,to empower and instill confidence among minoritywomen
A Central Sector Scheme for Skill Development of Minorities-Seekho Aur Kamao,"upgrading the skills of the minority youths depending upon their educational qualification, present economic trends and the market potential, which go for self employment"
Scheme of Financial Assistance for Skill Training of PwDs,providing financial assistance for skill training for persons with disabilities.
INTEGRATED SKILL DEVELOPMENT SCHEME FOR THE TEXTILES ANDAPPAREL SECTOR INCLUDING JUTE AND HANDICRAFTS,"train manpower needs of textiles and related segments including Handicrafts,Handlooms, Sericulture, Jute, Technical Textiles"
Vocational Training for tribal youth,Give training to tribal people to improve their employment rate
Support to Training and Employment Programme for Women (STEP),enable women to become self-employed/entrepreneurs. 
