Age Group,Literate Without Educational Level - Non Formal - Males,Literate Without Educational Level - Non Formal - Females
All ages,319128,184283
0-6,0,0
7,13230,11200
8,26418,17420
9,10499,6730
10,17360,9600
11,5650,3390
12,11010,5950
13,4790,3120
14,6580,3830
15-19,31332,15893
20-24,27557,14778
25-29,23620,14730
30-34,20780,13210
35-39,20061,11740
40-44,19063,8820
45-49,14240,7909
50-54,14526,5903
55-59,8650,4830
60-64,10560,4400
65-69,5439,2840
70-74,4920,1920
75-79,1670,880
80+,3580,1380
Age not stated,17593,13810
